cid,text
14,"165/2024/ND-CP
Điều 5. Giao Ủy ban nhân dân cấp tỉnh quản lý quốc lộ để đáp ứng nhu cầu phát triển kinh tế - xã hội, bảo đảm lợi ích quốc gia, quốc phòng, an ninh và khả năng bố trí nguồn lực của địa phương
2. Trách nhiệm của Ủy ban nhân dân cấp tỉnh khi được Thủ tướng Chính phủ giao quản lý quốc lộ
b) Bảo đảm nguồn lực để quản lý, vận hành, khai thác, bảo trì quốc lộ được giao, đầu tư xây dựng, cải tạo, nâng cấp, mở rộng quốc lộ kể từ khi được giao theo quy hoạch mạng lưới đường bộ, quy hoạch kết cấu hạ tầng đường bộ được duyệt;"
15,"165/2024/ND-CP
Điều 5. Giao Ủy ban nhân dân cấp tỉnh quản lý quốc lộ để đáp ứng nhu cầu phát triển kinh tế - xã hội, bảo đảm lợi ích quốc gia, quốc phòng, an ninh và khả năng bố trí nguồn lực của địa phương
2. Trách nhiệm của Ủy ban nhân dân cấp tỉnh khi được Thủ tướng Chính phủ giao quản lý quốc lộ
c) Bảo đảm kết nối giao thông theo quy định tại điểm d khoản 5 Điều 4 của Nghị định này."
16,"165/2024/ND-CP
Điều 5. Giao Ủy ban nhân dân cấp tỉnh quản lý quốc lộ để đáp ứng nhu cầu phát triển kinh tế - xã hội, bảo đảm lợi ích quốc gia, quốc phòng, an ninh và khả năng bố trí nguồn lực của địa phương
3. Trách nhiệm của Bộ Giao thông vận tải
a) Bàn giao tuyến, đoạn tuyến quốc lộ cho Ủy ban nhân dân cấp tỉnh sau khi có Quyết định của Thủ tướng Chính phủ giao Ủy ban nhân dân cấp tỉnh quản lý tuyến, đoạn tuyến quốc lộ; lập hồ sơ điều chuyển tài sản kết cấu hạ tầng quốc lộ giao cho Ủy ban nhân dân cấp tỉnh để quản lý, sử dụng và khai thác;"
17,"165/2024/ND-CP
Điều 5. Giao Ủy ban nhân dân cấp tỉnh quản lý quốc lộ để đáp ứng nhu cầu phát triển kinh tế - xã hội, bảo đảm lợi ích quốc gia, quốc phòng, an ninh và khả năng bố trí nguồn lực của địa phương
3. Trách nhiệm của Bộ Giao thông vận tải
b) Thanh tra, kiểm tra quốc lộ giao Ủy ban nhân dân cấp tỉnh quản lý theo quy định tại khoản 6 Điều 4 của Nghị định này."
18,"165/2024/ND-CP
Điều 6. Quản lý quốc lộ đi qua đô thị loại đặc biệt; tuyến, đoạn tuyến quốc lộ không phù hợp quy hoạch được duyệt; tuyến, đoạn tuyến quốc lộ đã có đường tránh thay thế phù hợp với quy hoạch; đường gom, đường bên tách khỏi quốc lộ cho địa phương quản lý
2. Ủy ban nhân dân cấp tỉnh có trách nhiệm tiếp nhận tài sản kết cấu hạ tầng đường bộ và tổ chức quản lý quốc lộ, đường gom, đường bên quy định tại khoản 1 Điều này và các quy định sau:
a) Bảo đảm nguồn lực thực hiện: quản lý, vận hành, khai thác, bảo trì, bảo vệ; đầu tư xây dựng mới, cải tạo, nâng cấp, mở rộng công trình theo quy hoạch được duyệt;"
19,"165/2024/ND-CP
Điều 6. Quản lý quốc lộ đi qua đô thị loại đặc biệt; tuyến, đoạn tuyến quốc lộ không phù hợp quy hoạch được duyệt; tuyến, đoạn tuyến quốc lộ đã có đường tránh thay thế phù hợp với quy hoạch; đường gom, đường bên tách khỏi quốc lộ cho địa phương quản lý
2. Ủy ban nhân dân cấp tỉnh có trách nhiệm tiếp nhận tài sản kết cấu hạ tầng đường bộ và tổ chức quản lý quốc lộ, đường gom, đường bên quy định tại khoản 1 Điều này và các quy định sau:
b) Bảo đảm kết nối giao thông theo quy định tại điểm d khoản 5 Điều 4 của Nghị định này."
20,"165/2024/ND-CP
Điều 6. Quản lý quốc lộ đi qua đô thị loại đặc biệt; tuyến, đoạn tuyến quốc lộ không phù hợp quy hoạch được duyệt; tuyến, đoạn tuyến quốc lộ đã có đường tránh thay thế phù hợp với quy hoạch; đường gom, đường bên tách khỏi quốc lộ cho địa phương quản lý
3. Bộ Giao thông vận tải thống nhất với Ủy ban nhân dân cấp tỉnh thời điểm bàn giao
a) Đoạn tuyến quốc lộ, đường cao tốc đi qua đô thị loại đặc biệt do doanh nghiệp được Nhà nước giao đầu tư xây dựng, quản lý, vận hành, khai thác;"
21,"165/2024/ND-CP
Điều 6. Quản lý quốc lộ đi qua đô thị loại đặc biệt; tuyến, đoạn tuyến quốc lộ không phù hợp quy hoạch được duyệt; tuyến, đoạn tuyến quốc lộ đã có đường tránh thay thế phù hợp với quy hoạch; đường gom, đường bên tách khỏi quốc lộ cho địa phương quản lý
3. Bộ Giao thông vận tải thống nhất với Ủy ban nhân dân cấp tỉnh thời điểm bàn giao
b) Đoạn tuyến quốc lộ, đường cao tốc đi qua đô thị đặc biệt nhưng chưa có đường tỉnh kết nối với quốc lộ, đường cao tốc."
22,"165/2024/ND-CP
Điều 7. Điều chỉnh loại đường theo cấp quản lý
1. Bộ Giao thông vận tải quyết định điều chỉnh quốc lộ thành đường địa phương; đường địa phương và đường khác thành quốc lộ đối với các trường hợp sau:
a) Tuyến, đoạn tuyến quốc lộ điều chỉnh thành đường địa phương đối với các trường hợp: không có trong quy hoạch mạng lưới đường bộ, quy hoạch kết cấu hạ tầng đường bộ được Thủ tướng Chính phủ phê duyệt, trừ trường hợp quốc lộ có yêu cầu đặc biệt về bảo đảm quốc phòng, an ninh; đã đầu tư xây dựng tuyến tránh thay thế phù hợp với quy hoạch mạng lưới đường bộ, quy hoạch kết cấu hạ tầng đường bộ được Thủ tướng Chính phủ phê duyệt;"
23,"165/2024/ND-CP
Điều 7. Điều chỉnh loại đường theo cấp quản lý
1. Bộ Giao thông vận tải quyết định điều chỉnh quốc lộ thành đường địa phương; đường địa phương và đường khác thành quốc lộ đối với các trường hợp sau:
b) Tuyến, đoạn tuyến đường địa phương và đường bộ khác có trong quy hoạch mạng lưới đường bộ, quy hoạch kết cấu hạ tầng đường bộ được Thủ tướng Chính phủ phê duyệt thì điều chỉnh thành quốc lộ."
24,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
2. Số hiệu đường bộ bao gồm phần ký hiệu bằng chữ cái viết tắt của các loại đường, liền phía sau chữ cái là dấu chấm, số tự nhiên phía sau dấu chấm và được quy định đối với đường cao tốc, quốc lộ, đường tỉnh, đường huyện, đường đô thị như sau:
a) Số hiệu của đường cao tốc bao gồm: chữ “CT.” sau đó là số tự nhiên của đường cần đặt, chữ cái nếu có;"
25,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
2. Số hiệu đường bộ bao gồm phần ký hiệu bằng chữ cái viết tắt của các loại đường, liền phía sau chữ cái là dấu chấm, số tự nhiên phía sau dấu chấm và được quy định đối với đường cao tốc, quốc lộ, đường tỉnh, đường huyện, đường đô thị như sau:
b) Số hiệu của quốc lộ bao gồm: chữ “QL.” sau đó là số tự nhiên của đường cần đặt, chữ cái nếu có;"
26,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
2. Số hiệu đường bộ bao gồm phần ký hiệu bằng chữ cái viết tắt của các loại đường, liền phía sau chữ cái là dấu chấm, số tự nhiên phía sau dấu chấm và được quy định đối với đường cao tốc, quốc lộ, đường tỉnh, đường huyện, đường đô thị như sau:
c) Số hiệu đường tỉnh bao gồm: chữ “ĐT.” sau đó là số tự nhiên của đường cần đặt, chữ cái nếu có;"
27,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
2. Số hiệu đường bộ bao gồm phần ký hiệu bằng chữ cái viết tắt của các loại đường, liền phía sau chữ cái là dấu chấm, số tự nhiên phía sau dấu chấm và được quy định đối với đường cao tốc, quốc lộ, đường tỉnh, đường huyện, đường đô thị như sau:
d) Số hiệu đường huyện bao gồm: chữ “ĐH.” sau đó là số tự nhiên của đường cần đặt, chữ cái nếu có;"
28,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
2. Số hiệu đường bộ bao gồm phần ký hiệu bằng chữ cái viết tắt của các loại đường, liền phía sau chữ cái là dấu chấm, số tự nhiên phía sau dấu chấm và được quy định đối với đường cao tốc, quốc lộ, đường tỉnh, đường huyện, đường đô thị như sau:
đ) Số hiệu đường đô thị bao gồm: chữ “ĐĐT.” sau đó là số tự nhiên của đường cần đặt, chữ cái nếu có."
29,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
9. Thẩm quyền đặt tên, số hiệu đường bộ và trách nhiệm công bố tên, số hiệu đường bộ trên các phương tiện thông tin đại chúng được quy định như sau:
a) Bộ Giao thông vận tải đặt tên, số hiệu quốc lộ và đường bộ tham gia mạng lưới đường bộ theo điều ước quốc tế;"
30,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
9. Thẩm quyền đặt tên, số hiệu đường bộ và trách nhiệm công bố tên, số hiệu đường bộ trên các phương tiện thông tin đại chúng được quy định như sau:
b) Ủy ban nhân dân cấp tỉnh đặt tên, số hiệu đường tỉnh, đường huyện;"
31,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
9. Thẩm quyền đặt tên, số hiệu đường bộ và trách nhiệm công bố tên, số hiệu đường bộ trên các phương tiện thông tin đại chúng được quy định như sau:
c) Ủy ban nhân dân cấp huyện đặt tên, số hiệu đường xã;"
32,"165/2024/ND-CP
Điều 8. Đặt tên, đổi tên, số hiệu đường bộ
9. Thẩm quyền đặt tên, số hiệu đường bộ và trách nhiệm công bố tên, số hiệu đường bộ trên các phương tiện thông tin đại chúng được quy định như sau:
d) Thẩm quyền đặt tên, đổi tên đường đô thị thực hiện theo Quy chế của Chính phủ về đặt tên, đối tên đường, phố và công trình công cộng."
33,"165/2024/ND-CP
Điều 9. Trách nhiệm quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ
3. Người quản lý, sử dụng đường bộ có trách nhiệm trực tiếp tổ chức thực hiện quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ thuộc phạm vi quản lý và các công việc sau:
a) Lập, trình cấp có thẩm quyền phê duyệt kế hoạch quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ;"
34,"165/2024/ND-CP
Điều 9. Trách nhiệm quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ
3. Người quản lý, sử dụng đường bộ có trách nhiệm trực tiếp tổ chức thực hiện quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ thuộc phạm vi quản lý và các công việc sau:
b) Tổ chức thực hiện công tác quản lý, vận hành, khai thác và bảo trì kết cấu hạ tầng đường bộ được giao;"
35,"165/2024/ND-CP
Điều 9. Trách nhiệm quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ
3. Người quản lý, sử dụng đường bộ có trách nhiệm trực tiếp tổ chức thực hiện quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ thuộc phạm vi quản lý và các công việc sau:
c) Tổ chức thực hiện công tác bảo vệ kết cấu hạ tầng đường bộ theo quy định tại Điều 21 Luật Đường bộ, Điều 20 của Nghị định này; phát hiện, ngăn chặn, xử lý các hành vi bị nghiêm cấm đối với kết cấu hạ tầng đường bộ quy định tại khoản 1, khoản 2 và khoản 3 Điều 7 Luật Đường bộ, các hành vi vi phạm hành chính đối với kết cấu hạ tầng đường bộ;"
36,"165/2024/ND-CP
Điều 9. Trách nhiệm quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ
3. Người quản lý, sử dụng đường bộ có trách nhiệm trực tiếp tổ chức thực hiện quản lý, vận hành, khai thác, bảo trì kết cấu hạ tầng đường bộ thuộc phạm vi quản lý và các công việc sau:
d) Thực hiện các công việc khác về quản lý, vận hành, khai thác và bảo trì theo quy định của Luật Đường bộ, quy định tại Nghị định này và quy định của pháp luật có liên quan. Chương III PHẦN ĐẤT ĐỂ BẢO VỆ, BẢO TRÌ ĐƯỜNG BỘ; HÀNH LANG AN TOÀN ĐƯỜNG BỘ; XÂY DỰNG CÔNG TRÌNH TRONG PHẠM VI BẢO VỆ KẾT CẤU HẠ TẦNG ĐƯỜNG BỘ; BẢO VỆ KẾT CẤU HẠ TẦNG ĐƯỜNG BỘ; SỬ DỤNG TẠM THỜI LÒNG ĐƯỜNG, VỈA HÈ VÀO MỤC ĐÍCH KHÁC"
37,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
1. Phần đất để bảo vệ, bảo trì đường bộ đối với đường bộ ngoài đô thị được xác định như sau:
a) Chiều rộng phần đất để bảo vệ, bảo trì đường bộ ngoài đô thị không nhỏ hơn 3,0 mét đối với đường cao tốc, đường cấp I và đường cấp II; 2,0 mét đối với đường cấp III; 1,0 mét đối với đường cấp IV, cấp V, cấp VI, đường cấp A, B, C, D, đường khác và được xác định như sau: được tính từ chân ta luy nền đường đắp, mép ngoài cùng của rãnh đỉnh trở ra; ở nơi không xây dựng rãnh đỉnh thì được tính từ mép trên cùng đỉnh mái ta luy dương nền đường đào trở ra; tại các đoạn đường không đào, không đắp thì tính từ mép ngoài cùng của rãnh dọc trở ra;"
38,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
1. Phần đất để bảo vệ, bảo trì đường bộ đối với đường bộ ngoài đô thị được xác định như sau:
b) Đối với cầu vượt sông, suối, chiều rộng phần đất để bảo vệ, bảo trì cầu không nhỏ hơn 5,0 mét đối với cầu cấp đặc biệt, cấp I và cấp II; 4,0 mét đối với cầu cấp III; 3,0 mét đối với cầu cấp IV và được tính từ mép ngoài của móng các hạng mục công trình mố, trụ, mép ngoài của kết cấu cầu trở ra;"
39,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
1. Phần đất để bảo vệ, bảo trì đường bộ đối với đường bộ ngoài đô thị được xác định như sau:
c) Đối với cầu cạn, cầu vượt trên cao, chiều rộng phần đất để bảo vệ, bảo trì cầu được tính từ mép ngoài của móng các hạng mục công trình mố, trụ, mép ngoài của kết cấu cầu ra mỗi bên như sau: 3,0 mét đối với cầu cấp đặc biệt, cấp I và cấp II; 2,0 mét đối với cầu cấp III; 1,0 mét đối với cầu cấp IV;"
40,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
1. Phần đất để bảo vệ, bảo trì đường bộ đối với đường bộ ngoài đô thị được xác định như sau:
d) Đối với cống ngang đường, chiều rộng phần đất để bảo vệ, bảo trì cống được xác định theo cấp kỹ thuật của đường bộ, tính từ mép ngoài của các hạng mục công trình đầu cống, sân cống, bộ phận kết cấu ngoài cùng của cống trở ra như sau: 3,0 mét đối với cống của đường cao tốc, cấp I và cấp II; 2,0 mét đối với cống của đường cấp III; 1,0 mét đối với cống của đường cấp IV, cấp V, cấp VI, đường cấp A, B, C, D, đường khác;"
41,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
1. Phần đất để bảo vệ, bảo trì đường bộ đối với đường bộ ngoài đô thị được xác định như sau:
đ) Trường hợp không thuộc quy định tại điểm a, điểm b, điểm c và điểm d khoản này, phần đất để bảo vệ, bảo trì đường bộ nằm dọc phía ngoài lề đường và cách lề đường tối thiểu 1,0 mét."
42,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
4. Phần đất để bảo vệ, bảo trì hầm đường bộ được xác định như sau:
a) Phần đất để bảo vệ, bảo trì phía ngoài cửa hầm đường bộ là giới hạn của ta luy tại cửa hầm, nhưng không nhỏ hơn 3,0 mét tính từ mép ngoài cùng trở ra của các hạng mục kết cấu công trình thuộc hầm đường bộ;"
43,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
4. Phần đất để bảo vệ, bảo trì hầm đường bộ được xác định như sau:
b) Chiều rộng phần đất để bảo vệ, bảo trì hầm đường bộ theo phương nằm ngang bằng chiều rộng gia cố hầm theo phương ngang cộng với 3,0 mét đối với hầm cấp đặc biệt, cấp I, cấp II; 2,0 mét đối với hầm cấp III; 1,0 mét đối với hầm cấp IV nhưng không nhỏ hơn chiều rộng xác định theo quy định tại điểm a khoản này;"
44,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
4. Phần đất để bảo vệ, bảo trì hầm đường bộ được xác định như sau:
c) Chiều rộng phần đất để bảo vệ, bảo trì đường dẫn vào hầm, quảng trường và các hạng mục công trình phụ trợ phía trước cửa hầm được tính từ mép ngoài của các công trình này trở ra và xác định theo quy định tại điểm a khoản 1 Điều này đối với đoạn đường tại nơi xây dựng hầm đường bộ;"
45,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
4. Phần đất để bảo vệ, bảo trì hầm đường bộ được xác định như sau:
d) Phần đất để bảo vệ, bảo trì cửa hầm thông gió và các hạng mục công trình hầm khác tính từ mép ngoài cùng hạng mục công trình trở ra xung quanh theo thiết kế nhưng không nhỏ hơn 3,0 mét."
46,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
5. Phần đất để bảo vệ, bảo trì bến phà đường bộ, cầu phao đường bộ, công trình kè, tường chắn được xác định như sau:
a) Chiều rộng phần đất để bảo vệ, bảo trì bến phà đường bộ không nhỏ hơn 5,0 mét đối với bến phà cấp đặc biệt và cấp I; 4,0 mét đối với bến phà cấp II và cấp III; 3,0 mét đối với bến phà cấp IV tính từ mép ngoài của đường xuống bến, công trình bến hoặc mặt bến trở ra;"
47,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
5. Phần đất để bảo vệ, bảo trì bến phà đường bộ, cầu phao đường bộ, công trình kè, tường chắn được xác định như sau:
b) Chiều rộng phần đất để bảo vệ, bảo trì cầu phao đường bộ không nhỏ hơn 3,0 mét đối với cầu phao cấp I; 2,0 mét đối với cầu phao cấp II và cấp III; 1,0 mét đối với cầu phao cấp IV tính từ mép ngoài đường đầu cầu phao, mép ngoài công trình cầu phao trở ra;"
48,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
5. Phần đất để bảo vệ, bảo trì bến phà đường bộ, cầu phao đường bộ, công trình kè, tường chắn được xác định như sau:
c) Chiều rộng phần đất để bảo vệ, bảo trì đường dẫn xuống bến phà, cầu phao được xác định theo quy định tại điểm a khoản 1 Điều này;"
49,"165/2024/ND-CP
Điều 10. Phần đất để bảo vệ, bảo trì đường bộ
5. Phần đất để bảo vệ, bảo trì bến phà đường bộ, cầu phao đường bộ, công trình kè, tường chắn được xác định như sau:
d) Chiều rộng phần đất để bảo vệ, bảo trì công trình kè, tường chắn không nhỏ hơn 2,0 mét tính từ mép ngoài của móng hoặc bộ phận ngoài cùng của kè, tường chắn trở ra."
50,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
2. Chiều rộng hành lang an toàn đường bộ trong phạm vi cầu (khoảng giữa đuôi hai mố cầu) và phần đường đầu cầu theo thiết kế được xác định như sau:
a) Đối với cầu đường bộ ngoài đô thị, chiều rộng hành lang an toàn cầu đường bộ tính từ mép ngoài cùng phần đất để bảo vệ, bảo trì cầu trở ra mỗi bên như sau: 150 mét đối với cầu có chiều dài lớn hơn 300 mét; 100 mét đối với cầu có chiều dài từ 60 mét đến 300 mét; 50 mét đối với cầu có chiều dài từ 20 mét đến dưới 60 mét; 20 mét đối với cầu có chiều dài nhỏ hơn 20 mét. Đối với phần cầu cạn không vượt sông thuộc phần đường dẫn lên cầu chính vượt sông lớn hơn 300 mét thì chiều rộng hành lang an toàn cầu tính từ phần đất để bảo vệ, bảo trì trở ra không nhỏ hơn 50 mét; Trường hợp cầu cạn (bao gồm cầu vượt đường sắt, cầu vượt đường bộ, cầu xây dựng trên cao song hành với đường khác, các cầu trên cạn khác và phần cầu trên đường dẫn nằm ngoài khoảng cách hai bờ đê của cầu vượt sông) trên đường ngoài đô thị: chiều rộng hành lang an toàn đường bộ của cầu xác định theo cấp đường quy định tại khoản 1 Điều này;"
51,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
2. Chiều rộng hành lang an toàn đường bộ trong phạm vi cầu (khoảng giữa đuôi hai mố cầu) và phần đường đầu cầu theo thiết kế được xác định như sau:
b) Đối với cầu trên đường trong đô thị, hành lang an toàn theo chiều ngang cầu đối với phần cầu chạy trên cạn, kể cả phần cầu chạy trên phần đất không ngập nước thường xuyên và các cầu bắc qua sông, kênh, rạch không có hoạt động vận tải đường thủy được tính từ mép ngoài phần đất để bảo vệ, bảo trì cầu ra mỗi bên 7,0 mét; phần đường đầu cầu xác định như hành lang an toàn đường đô thị; đối với phần cầu còn lại xác định theo quy định tại điểm a khoản này;"
52,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
2. Chiều rộng hành lang an toàn đường bộ trong phạm vi cầu (khoảng giữa đuôi hai mố cầu) và phần đường đầu cầu theo thiết kế được xác định như sau:
c) Trường hợp không xác định được phạm vi đường đầu cầu theo thiết kế thì phần đường đầu cầu được tính từ đuôi mố trở ra theo chiều dọc cầu không nhỏ hơn: 50 mét đối với cầu có chiều dài từ 60 mét trở lên, 30 mét đối với cầu có chiều dài nhỏ hơn 60 mét."
53,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
3. Chiều rộng hành lang an toàn hầm đường bộ được xác định như sau:
a) Đối với hầm đường bộ ngoài đô thị, hành lang an toàn đường bộ của hầm là vùng đất, vùng nước xung quanh cửa hầm được tính từ mép ngoài phần đất bảo vệ, bảo trì hầm trở ra là 100 mét;"
54,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
3. Chiều rộng hành lang an toàn hầm đường bộ được xác định như sau:
b) Đối với hầm đường bộ trong đô thị, hành lang an toàn hầm đường bộ do tư vấn thiết kế xác định trong hồ sơ thiết kế trên cơ sở bảo đảm an toàn bền vững hầm và được cấp có thẩm quyền phê duyệt."
55,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
4. Chiều rộng hành lang an toàn bến phà, cầu phao đường bộ được xác định như sau:
a) Theo chiều dọc: bằng chiều dài đường xuống bến phà, cầu phao;"
56,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
4. Chiều rộng hành lang an toàn bến phà, cầu phao đường bộ được xác định như sau:
b) Theo chiều ngang: từ tim bến phà, cầu phao trở ra mỗi phía thượng lưu, hạ lưu là 150 mét."
57,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
5. Chiều rộng hành lang an toàn kè, tường chắn bảo vệ được xác định từ mép ngoài của kè, tường chắn bảo vệ trở ra như sau:
a) Đối với kè, tường chắn chống xói để bảo vệ nền đường, hành lang an toàn kè tính từ đầu kè, tường chắn và từ cuối kè, tường chắn về hai phía thượng lưu, hạ lưu mỗi phía 50 mét; từ chân kè, tường chắn trở ra sông 20 mét;"
58,"165/2024/ND-CP
Điều 11. Hành lang an toàn đường bộ
5. Chiều rộng hành lang an toàn kè, tường chắn bảo vệ được xác định từ mép ngoài của kè, tường chắn bảo vệ trở ra như sau:
b) Đối với kè, tường chắn chỉnh trị dòng nước, hành lang an toàn kè tính từ chân kè, tường chắn về hai phía thượng lưu, hạ lưu mỗi phía 100 mét; từ mép của kè, tường chắn trở vào bờ 50 mét; từ chân kè, tường chắn trở ra sông 20 mét;"
